,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA200320C00035000,2019-06-13 13:56:20,35.0,178.5,207.7,209.45,0.0,0.0,7.0,8,1.0000000000000003e-05,True,REGULAR,USD
1,TSLA200320C00045000,2019-10-04 13:47:29,45.0,188.68,271.6,273.5,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
2,TSLA200320C00060000,2019-10-07 04:10:42,60.0,173.77,275.9,278.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
3,TSLA200320C00080000,2019-10-08 14:20:18,80.0,158.88,255.9,258.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
4,TSLA200320C00090000,2019-09-27 13:43:12,90.0,154.6,224.1,225.75,0.0,0.0,15.0,4,1.0000000000000003e-05,True,REGULAR,USD
5,TSLA200320C00095000,2019-10-08 14:20:18,95.0,144.36,240.9,242.95,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
6,TSLA200320C00100000,2019-11-21 20:11:27,100.0,257.01,304.4,306.5,0.0,0.0,1.0,0,1.3457063964843747,True,REGULAR,USD
7,TSLA200320C00105000,2019-06-20 15:31:37,105.0,120.78,154.8,157.75,0.0,0.0,4.0,2,1.0000000000000003e-05,True,REGULAR,USD
8,TSLA200320C00110000,2019-10-24 15:46:57,110.0,187.77,222.2,223.65,0.0,0.0,10.0,19,1.0000000000000003e-05,True,REGULAR,USD
9,TSLA200320C00120000,2019-10-25 16:44:47,120.0,197.52,207.7,212.1,0.0,0.0,10.0,14,1.0000000000000003e-05,True,REGULAR,USD
10,TSLA200320C00125000,2019-10-24 16:06:56,125.0,172.67,206.5,210.2,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
11,TSLA200320C00130000,2019-10-16 18:46:49,130.0,130.25,220.5,224.15,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
12,TSLA200320C00135000,2019-10-25 16:44:47,135.0,182.79,193.1,197.25,0.0,0.0,10.0,1,1.0000000000000003e-05,True,REGULAR,USD
13,TSLA200320C00140000,2019-10-28 14:19:22,140.0,193.5,188.2,192.3,0.0,0.0,1.0,29,1.0000000000000003e-05,True,REGULAR,USD
14,TSLA200320C00145000,2019-09-09 18:13:18,145.0,92.05,104.2,108.6,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
15,TSLA200320C00150000,2019-10-30 15:34:12,150.0,163.0,178.3,182.3,0.0,0.0,7.0,44,1.0000000000000003e-05,True,REGULAR,USD
16,TSLA200320C00155000,2019-10-07 14:03:35,155.0,83.25,180.6,184.4,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
17,TSLA200320C00160000,2019-11-15 17:08:28,160.0,190.35,231.6,234.9,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
18,TSLA200320C00165000,2019-10-02 19:25:45,165.0,136.74,147.45,151.55,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
19,TSLA200320C00170000,2019-11-21 20:59:21,170.0,165.0,234.05,237.15,0.0,0.0,1.0,0,0.507817421875,True,REGULAR,USD
20,TSLA200320C00175000,2019-10-23 16:23:40,175.0,85.1,158.75,160.8,0.0,0.0,1.0,10,1.0000000000000003e-05,True,REGULAR,USD
21,TSLA200320C00180000,2019-10-25 19:42:45,180.0,149.9,148.7,153.1,0.0,0.0,5.0,22,1.0000000000000003e-05,True,REGULAR,USD
22,TSLA200320C00185000,2019-10-25 17:33:17,185.0,138.0,144.05,148.3,0.0,0.0,3.0,13,1.0000000000000003e-05,True,REGULAR,USD
23,TSLA200320C00190000,2019-11-21 18:39:46,190.0,169.82,213.9,217.4,0.0,0.0,2.0,0,0.5371140039062501,True,REGULAR,USD
24,TSLA200320C00195000,2019-12-05 19:47:53,195.0,137.95,208.85,212.6,0.0,0.0,2.0,0,0.56836369140625,True,REGULAR,USD
25,TSLA200320C00200000,2019-12-19 18:53:44,200.0,206.21,203.95,207.6,0.0,0.0,5.0,383,0.5712933496093751,True,REGULAR,USD
26,TSLA200320C00205000,2019-12-18 18:22:47,205.0,184.92,199.0,202.6,0.0,0.0,4.0,59,0.5610395458984375,True,REGULAR,USD
27,TSLA200320C00210000,2019-12-06 19:38:25,210.0,128.53,194.0,197.8,0.0,0.0,11.0,262,0.570316796875,True,REGULAR,USD
28,TSLA200320C00215000,2019-12-19 14:30:00,215.0,183.13,189.25,192.85,0.0,0.0,1.0,145,0.5825237060546875,True,REGULAR,USD
29,TSLA200320C00220000,2019-12-16 16:44:15,220.0,190.61,184.2,187.8,29.960007,18.649242,1.0,230,0.5542036767578126,True,REGULAR,USD
30,TSLA200320C00225000,2019-12-20 14:57:02,225.0,182.5,179.6,183.15,26.949997,17.325615,15.0,189,0.5905802661132813,True,REGULAR,USD
31,TSLA200320C00230000,2019-12-20 16:36:31,230.0,175.0,174.55,178.15,0.55999756,0.32102588,15.0,801,0.5678754150390625,True,REGULAR,USD
32,TSLA200320C00235000,2019-12-20 20:55:00,235.0,171.75,170.45,172.8,27.270004,18.874588,9.0,0,0.5776409423828125,True,REGULAR,USD
33,TSLA200320C00240000,2019-12-19 16:08:16,240.0,168.2,164.9,168.55,0.0,0.0,4.0,0,0.5671430004882813,True,REGULAR,USD
34,TSLA200320C00245000,2019-12-17 14:34:43,245.0,136.55,160.05,163.65,0.0,0.0,1.0,385,0.5581098876953126,True,REGULAR,USD
35,TSLA200320C00250000,2019-12-20 14:40:59,250.0,160.42,156.25,159.15,4.419998,2.833332,10.0,1326,0.59570716796875,True,REGULAR,USD
36,TSLA200320C00255000,2019-12-20 18:37:41,255.0,153.52,150.4,154.1,2.1900024,1.44717,1.0,98,0.5476119458007813,True,REGULAR,USD
